Gross Income,CPP,EI,Federal Tax,CAI,CWB,HST Credit,Provincial Tax,Provincial SurTax,OHIP,ONSTC,ON Works,Net Income,Effective Tax Rate,Marginal Tax Rate,Type,Rate of Change,OCB,CCB
280000,2748.9,860.22,69161.552,-154,0,0,28866.15844,13032.92873,900,0,0,164584.2408,0.41219914,0.535296,Single No Kids,464.704,,
290000,2748.9,860.22,72461.552,-154,0,0,30182.15844,13769.88873,900,0,0,169231.2808,0.416443859,0.535296,Single No Kids,464.704,,
300000,2748.9,860.22,75761.552,-154,0,0,31498.15844,14506.84873,900,0,0,173878.3208,0.420405597,0.535296,Single No Kids,464.704,,
310000,2748.9,860.22,79061.552,-154,0,0,32814.15844,15243.80873,900,0,0,178525.3608,0.424111739,0.535296,Single No Kids,464.704,,
320000,2748.9,860.22,82361.552,-154,0,0,34130.15844,15980.76873,900,0,0,183172.4008,0.427586247,0.535296,Single No Kids,464.704,,
330000,2748.9,860.22,85661.552,-154,0,0,35446.15844,16717.72873,900,0,0,187819.4408,0.430850179,0.535296,Single No Kids,464.704,,
340000,2748.9,860.22,88961.552,-154,0,0,36762.15844,17454.68873,900,0,0,192466.4808,0.433922115,0.535296,Single No Kids,464.704,,
350000,2748.9,860.22,92261.552,-154,0,0,38078.15844,18191.64873,900,0,0,197113.5208,0.436818512,0.535296,Single No Kids,464.704,,
360000,2748.9,860.22,95561.552,-154,0,0,39394.15844,18928.60873,900,0,0,201760.5608,0.439553998,0.535296,Single No Kids,464.704,,
370000,2748.9,860.22,98861.552,-154,0,0,40710.15844,19665.56873,900,0,0,206407.6008,0.442141619,0.535296,Single No Kids,464.704,,
380000,2748.9,860.22,102161.552,-154,0,0,42026.15844,20402.52873,900,0,0,211054.6408,0.44459305,0.535296,Single No Kids,464.704,,
390000,2748.9,860.22,105461.552,-154,0,0,43342.15844,21139.48873,900,0,0,215701.6808,0.446918767,0.535296,Single No Kids,464.704,,
400000,2748.9,860.22,108761.552,-154,0,0,44658.15844,21876.44873,900,0,0,220348.7208,0.449128198,0.535296,Single No Kids,464.704,,
1000,0,0,0,-231,0,-568,0,0,0,-616,-13632,16047,-15.047,0,"Married No Kids, One Earner",,,
2000,0,0,0,-231,0,-568,0,0,0,-616,-13632,17047,-7.5235,0,"Married No Kids, One Earner",1000,,
3000,0,48.6,0,-231,0,-568,0,0,0,-616,-13332,17698.4,-4.899466667,0.3486,"Married No Kids, One Earner",651.4,,
4000,25.5,64.8,0,-231,-260,-568,0,0,0,-616,-12832,18416.7,-3.604175,0.2817,"Married No Kids, One Earner",718.3,,
5000,76.5,81,0,-231,-520,-568,0,0,0,-616,-12332,19109.5,-2.8219,0.3072,"Married No Kids, One Earner",692.8,,
6000,127.5,97.2,0,-231,-780,-568,0,0,0,-616,-11832,19802.3,-2.300383333,0.3072,"Married No Kids, One Earner",692.8,,
7000,178.5,113.4,0,-231,-1040,-568,0,0,0,-616,-11332,20495.1,-1.927871429,0.3072,"Married No Kids, One Earner",692.8,,
8000,229.5,129.6,0,-231,-1300,-568,0,0,0,-616,-10832,21187.9,-1.6484875,0.3072,"Married No Kids, One Earner",692.8,,
9000,280.5,145.8,0,-231,-1560,-568,0,0,0,-616,-10332,21880.7,-1.431188889,0.3072,"Married No Kids, One Earner",692.8,,
10000,331.5,162,0,-231,-1820,-568,0,0,0,-616,-9832,22573.5,-1.25735,0.3072,"Married No Kids, One Earner",692.8,,
11000,382.5,178.2,0,-231,-2080,-568,0,0,0,-616,-9332,23266.3,-1.115118182,0.3072,"Married No Kids, One Earner",692.8,,
12000,433.5,194.4,0,-231,-2335,-568,0,0,0,-616,-8832,23954.1,-0.996175,0.3122,"Married No Kids, One Earner",687.8,,
13000,484.5,210.6,0,-231,-2335,-568,0,0,0,-616,-8332,24386.9,-0.875915385,0.5672,"Married No Kids, One Earner",432.8,,
14000,535.5,226.8,0,-231,-2335,-568,0,0,0,-616,-7832,24819.7,-0.772835714,0.5672,"Married No Kids, One Earner",432.8,,
15000,586.5,243,0,-231,-2335,-568,0,0,0,-616,-7332,25252.5,-0.6835,0.5672,"Married No Kids, One Earner",432.8,,
16000,637.5,259.2,0,-231,-2335,-568,0,0,0,-616,-6832,25685.3,-0.60533125,0.5672,"Married No Kids, One Earner",432.8,,
17000,688.5,275.4,0,-231,-2335,-568,0,0,0,-616,-6332,26118.1,-0.536358824,0.5672,"Married No Kids, One Earner",432.8,,
18000,739.5,291.6,0,-231,-2218,-568,0,0,0,-616,-5832,26433.9,-0.46855,0.6842,"Married No Kids, One Earner",315.8,,
19000,790.5,307.8,0,-231,-2098,-568,0,0,0,-616,-5332,26746.7,-0.407721053,0.6872,"Married No Kids, One Earner",312.8,,
20000,841.5,324,0,-231,-1978,-568,0,0,0,-616,-4832,27059.5,-0.352975,0.6872,"Married No Kids, One Earner",312.8,,
21000,892.5,340.2,0,-231,-1858,-568,0,0,60,-616,-4332,27312.3,-0.300585714,0.7472,"Married No Kids, One Earner",252.8,,
22000,943.5,356.4,0,-231,-1738,-568,0,0,120,-616,-3832,27565.1,-0.252959091,0.7472,"Married No Kids, One Earner",252.8,,
23000,994.5,372.6,0,-231,-1618,-568,0,0,180,-616,-3332,27817.9,-0.209473913,0.7472,"Married No Kids, One Earner",252.8,,
24000,1045.5,388.8,0,-231,-1498,-568,0,0,240,-616,-2832,28070.7,-0.1696125,0.7472,"Married No Kids, One Earner",252.8,,
25000,1096.5,405,0,-231,-1378,-568,0,0,300,-616,-2332,28323.5,-0.13294,0.7472,"Married No Kids, One Earner",252.8,,
26000,1147.5,421.2,0,-231,-1258,-568,0,0,300,-616,-1832,28636.3,-0.101396154,0.6872,"Married No Kids, One Earner",312.8,,
27000,1198.5,437.4,0.615,-231,-1138,-568,0,0,300,-616,-1332,28948.485,-0.072166111,0.687815,"Married No Kids, One Earner",312.185,,
28000,1249.5,453.6,140.535,-231,-1018,-568,0,0,300,-616,-832,29121.365,-0.04004875,0.82712,"Married No Kids, One Earner",172.88,,
29000,1300.5,469.8,280.455,-231,-898,-568,0,0,300,-616,-332,29294.245,-0.010146379,0.82712,"Married No Kids, One Earner",172.88,,
30000,1351.5,486,420.375,-231,-778,-568,0,0,300,-599.24,0,29618.365,0.012721167,0.67588,"Married No Kids, One Earner",324.12,,
31000,1402.5,502.2,560.295,-231,-658,-568,0,0,300,-559.24,0,30251.245,0.024153387,0.36712,"Married No Kids, One Earner",632.88,,
32000,1453.5,518.4,700.215,-231,-538,-568,0,0,300,-519.24,0,30884.125,0.034871094,0.36712,"Married No Kids, One Earner",632.88,,
33000,1504.5,534.6,840.135,-231,-418,-568,0,0,300,-479.24,0,31517.005,0.044939242,0.36712,"Married No Kids, One Earner",632.88,,
34000,1555.5,550.8,980.055,-231,-298,-568,0,0,300,-439.24,0,32149.885,0.054415147,0.36712,"Married No Kids, One Earner",632.88,,
35000,1606.5,567,1119.975,-231,-178,-568,0,0,300,-399.24,0,32782.765,0.063349571,0.36712,"Married No Kids, One Earner",632.88,,
36000,1657.5,583.2,1259.895,-231,-58,-568,0,0,300,-359.24,0,33415.645,0.071787639,0.36712,"Married No Kids, One Earner",632.88,,
37000,1708.5,599.4,1399.815,-231,62,-566.8,0,0,360,-319.24,0,33987.325,0.081423649,0.42832,"Married No Kids, One Earner",571.68,,
38000,1759.5,615.6,1539.735,-231,0,-516.8,0,0,420,-279.24,0,34692.205,0.087047237,0.29512,"Married No Kids, One Earner",704.88,,
39000,1810.5,631.8,1679.655,-231,0,-466.8,8.03035,0,450,-239.24,0,35357.05465,0.093408855,0.33515035,"Married No Kids, One Earner",664.84965,,
40000,1861.5,648,1819.575,-231,0,-416.8,55.13675,0,450,-199.24,0,36012.82825,0.099679294,0.3442264,"Married No Kids, One Earner",655.7736,,
41000,1912.5,664.2,1959.495,-231,0,-366.8,102.24315,0,450,-159.24,0,36668.60185,0.105643857,0.3442264,"Married No Kids, One Earner",655.7736,,
42000,1963.5,680.4,2099.415,-231,0,-316.8,149.34955,0,450,-119.24,0,37324.37545,0.111324394,0.3442264,"Married No Kids, One Earner",655.7736,,
43000,2014.5,696.6,2239.335,-231,0,-266.8,196.45595,0,450,-79.24,0,37980.14905,0.11674072,0.3442264,"Married No Kids, One Earner",655.7736,,
44000,2065.5,712.8,2379.255,-231,0,-216.8,247.41335,0,450,-39.24,0,38632.07165,0.121998372,0.3480774,"Married No Kids, One Earner",651.9226,,
45000,2116.5,729,2519.175,-231,0,-166.8,335.51975,0,450,0,0,39247.60525,0.127830994,0.3844664,"Married No Kids, One Earner",615.5336,,
46000,2167.5,745.2,2659.095,-231,0,-116.8,423.62615,0,450,0,0,39902.37885,0.132556982,0.3452264,"Married No Kids, One Earner",654.7736,,
47000,2218.5,761.4,2799.015,-231,0,-66.8,511.73255,0,450,0,0,40557.15245,0.137081863,0.3452264,"Married No Kids, One Earner",654.7736,,
48000,2269.5,777.6,2959.785,-231,0,-16.8,599.83895,0,450,0,0,41191.07605,0.141852582,0.3660764,"Married No Kids, One Earner",633.9236,,
49000,2320.5,793.8,3154.705,-231,0,0,687.94535,0,600,0,0,41674.04965,0.149509191,0.5170264,"Married No Kids, One Earner",482.9736,,
50000,2371.5,810,3349.625,-231,0,0,776.05175,0,600,0,0,42323.82325,0.153523535,0.3502264,"Married No Kids, One Earner",649.7736,,
51000,2422.5,826.2,3544.545,-231,0,0,864.15815,0,600,0,0,42973.59685,0.157380454,0.3502264,"Married No Kids, One Earner",649.7736,,
52000,2473.5,842.4,3739.465,-231,0,0,952.26455,0,600,0,0,43623.37045,0.16108903,0.3502264,"Married No Kids, One Earner",649.7736,,
53000,2524.5,858.6,3934.385,-231,0,0,1040.37095,0,600,0,0,44273.14405,0.164657659,0.3502264,"Married No Kids, One Earner",649.7736,,
54000,2575.5,860.22,4131.492,-231,0,0,1129.21364,0,600,0,0,44934.57436,0.167878253,0.33856969,"Married No Kids, One Earner",661.43031,,
55000,2626.5,860.22,4328.842,-231,0,0,1218.13814,0,600,0,0,45597.29986,0.170958184,0.3372745,"Married No Kids, One Earner",662.7255,,
56000,2677.5,860.22,4526.192,-231,0,0,1307.06264,0,600,0,0,46260.02536,0.173928119,0.3372745,"Married No Kids, One Earner",662.7255,,
57000,2728.5,860.22,4723.542,-231,0,0,1395.98714,0,600,0,0,46922.75086,0.176793845,0.3372745,"Married No Kids, One Earner",662.7255,,
58000,2748.9,860.22,4925.482,-231,0,0,1486.45694,0,600,0,0,47609.94106,0.179138947,0.3128098,"Married No Kids, One Earner",687.1902,,
59000,2748.9,860.22,5130.482,-231,0,0,1577.95694,0,600,0,0,48313.44106,0.181128118,0.2965,"Married No Kids, One Earner",703.5,,
60000,2748.9,860.22,5335.482,-231,0,0,1669.45694,0,600,0,0,49016.94106,0.183050982,0.2965,"Married No Kids, One Earner",703.5,,
